"species","year","lat","long"
"Ablennes hians",2018,32.318347,34.843906
"Ablennes hians",2021,33.452222,35.3375
"Ablennes hians",2020,35.808434,14.537536
"Ablennes hians",2018,35.819001,14.559989
"Ablennes hians",2021,35.0809294,14.539032
"Ablennes hians",2019,35.243086,35.920156
"Ablennes hians",2021,36.313203,33.864118
"Ablennes hians",2022,36.313203,33.864118
"Acanthopagrus bifasciatus",2020,31.287938,30.032502
"Acanthopagrus bifasciatus",2019,41.3475,2.17055
"Acanthopagrus bifasciatus",2022,35.121403,35.904092
"Acanthopagrus bifasciatus",2010,37.116528,10.829948
"Acanthopagrus bifasciatus",2018,37.121424,10.785882
"Acanthopagrus bifasciatus",2020,37.066215,11.008603
"Acanthopagrus bifasciatus",2018,38.629981,26.52422
"Apogonichthyoides pharaonis",2010,36.156344,29.574854
"Apogonichthyoides pharaonis",2015,36.34116504,28.21001483
"Apogonichthyoides pharaonis",2017,36.449357,28.229167
"Apogonichthyoides pharaonis",2002,36.423594,28.191172
"Apogonichthyoides pharaonis",2002,36.448082,28.232417
"Apogonichthyoides pharaonis",2002,36.618206,27.839613
"Apogonichthyoides pharaonis",2003,36.420336,28.175631
"Apogonichthyoides pharaonis",2003,36.457181,28.222358
"Apogonichthyoides pharaonis",2018,37.581,24.75016667
"Apogonichthyoides pharaonis",2014,36.301331,28.188086
"Apogonichthyoides pharaonis",2021,36.887331,27.310159
"Apogonichthyoides pharaonis",2016,34.960611,33.681184
"Apogonichthyoides pharaonis",2017,35.003783,34.069853
"Apogonichthyoides pharaonis",2018,34.727307,33.340379
"Apogonichthyoides pharaonis",2018,34.727307,33.340379
"Apogonichthyoides pharaonis",2018,35.041226,34.034184
"Apogonichthyoides pharaonis",2018,35.173517,32.55579
"Apogonichthyoides pharaonis",2018,34.691165,33.082527
"Apogonichthyoides pharaonis",2018,34.985448,33.969178
"Apogonichthyoides pharaonis",2018,34.884427,33.637385
"Apogonichthyoides pharaonis",2018,34.691165,33.082527
"Apogonichthyoides pharaonis",2018,35.173517,32.55579
"Apogonichthyoides pharaonis",2018,34.884427,33.637385
"Apogonichthyoides pharaonis",2018,34.959595,33.831236
"Apogonichthyoides pharaonis",2017,34.953221,33.65172
"Apogonichthyoides pharaonis",2018,34.662583,33.028139
"Apogonichthyoides pharaonis",2017,34.666774,33.032442
"Apogonichthyoides pharaonis",2018,34.985448,33.969178
"Apogonichthyoides pharaonis",2017,35.003783,34.069853
"Apogonichthyoides pharaonis",2012,32.877,34.961
"Apogonichthyoides pharaonis",2012,31.743,34.569
"Apogonichthyoides pharaonis",2004,33.038983,35.083067
"Apogonichthyoides pharaonis",2004,33.045167,35.083667
"Apogonichthyoides pharaonis",2013,33.922231,35.565483
"Apogonichthyoides pharaonis",2017,34.394151,35.772713
"Apogonichthyoides pharaonis",2014,34.361111,35.728611
"Apogonichthyoides pharaonis",2013,34.360567,35.730517
"Apogonichthyoides pharaonis",2012,34.36835,35.7289
"Apogonichthyoides pharaonis",2012,34.3038,35.699033
"Apogonichthyoides pharaonis",2013,33.282317,35.198883
"Apogonichthyoides pharaonis",2013,33.282317,35.198883
"Apogonichthyoides pharaonis",2013,33.283617,35.198917
"Apogonichthyoides pharaonis",2013,33.265683,35.191267
"Apogonichthyoides pharaonis",2013,33.262467,35.193217
"Apogonichthyoides pharaonis",2020,31.779083,25.077722
"Apogonichthyoides pharaonis",1997,36.537065,35.460653
"Apogonichthyoides pharaonis",2002,36.723871,28.036938
"Apogonichthyoides pharaonis",2005,36.297767,30.473339
"Apogonichthyoides pharaonis",2010,36.53966667,29.05288333
"Apogonichthyoides pharaonis",2014,36.859262,30.680205
"Apogonichthyoides pharaonis",2011,37.625339,27.1064
"Apogonichthyoides pharaonis ",2020,37.811525,23.771096
"Apogonichthyoides pharaonis ",2020,36.973636,27.033013
"Apogonichthyoides pharaonis ",2014,35.05138889,34.02277778
"Apogonichthyoides pharaonis ",2014,35.05138889,34.02277778
"Apogonichthyoides pharaonis ",2003,32.920576,35.071213
"Apogonichthyoides pharaonis ",2019,32.19224328,34.75044518
"Apogonichthyoides pharaonis ",2014,31.76474328,34.45518518
"Apogonichthyoides pharaonis ",2014,31.76474328,34.50838518
"Apogonichthyoides pharaonis ",2014,31.91999328,34.67330518
"Apogonichthyoides pharaonis ",2014,31.94924328,34.68660518
"Apogonichthyoides pharaonis ",2014,32.24624328,34.77704518
"Apogonichthyoides pharaonis ",2015,31.76474328,34.50838518
"Apogonichthyoides pharaonis ",2015,31.76474328,34.45518518
"Apogonichthyoides pharaonis ",2015,31.91999328,34.62542518
"Apogonichthyoides pharaonis ",2015,31.91999328,34.62542518
"Apogonichthyoides pharaonis ",2015,31.91999328,34.62542518
"Apogonichthyoides pharaonis ",2015,31.94924328,34.62276518
"Apogonichthyoides pharaonis ",2015,31.94924328,34.64670518
"Apogonichthyoides pharaonis ",2015,31.96499328,34.65734518
"Apogonichthyoides pharaonis ",2015,31.96499328,34.65734518
"Apogonichthyoides pharaonis ",2015,31.99199328,34.66798518
"Apogonichthyoides pharaonis ",2015,31.99199328,34.66798518
"Apogonichthyoides pharaonis ",2015,32.00549328,34.67330518
"Apogonichthyoides pharaonis ",2015,32.00549328,34.67330518
"Apogonichthyoides pharaonis ",2015,32.00549328,34.67330518
"Apogonichthyoides pharaonis ",2015,32.02574328,34.67862518
"Apogonichthyoides pharaonis ",2015,32.02574328,34.67862518
"Apogonichthyoides pharaonis ",2015,32.02574328,34.67862518
"Apogonichthyoides pharaonis ",2015,32.05274328,34.69192518
"Apogonichthyoides pharaonis ",2015,32.10449328,34.71852518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.73448518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.73448518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.66000518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.66000518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.73448518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.66000518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.66000518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.73448518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.73448518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.73448518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.66000518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.63606518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.76640518
"Apogonichthyoides pharaonis ",2015,32.13374328,34.73448518
"Apogonichthyoides pharaonis ",2015,32.16074328,34.66798518
"Apogonichthyoides pharaonis ",2015,32.16074328,34.66798518
"Apogonichthyoides pharaonis ",2015,32.19224328,34.75044518
"Apogonichthyoides pharaonis ",2015,32.19224328,34.75044518
"Apogonichthyoides pharaonis ",2015,32.21924328,34.76108518
"Apogonichthyoides pharaonis ",2016,31.88849328,34.60414518
"Apogonichthyoides pharaonis ",2016,31.94924328,34.64670518
"Apogonichthyoides pharaonis ",2016,32.00549328,34.67330518
"Apogonichthyoides pharaonis ",2016,32.05274328,34.69192518
"Apogonichthyoides pharaonis ",2016,32.07074328,34.70256518
"Apogonichthyoides pharaonis ",2016,32.10449328,34.65202518
"Apogonichthyoides pharaonis ",2016,32.10449328,34.71852518
"Apogonichthyoides pharaonis ",2016,32.10449328,34.71852518
"Apogonichthyoides pharaonis ",2016,32.13374328,34.66000518
"Apogonichthyoides pharaonis ",2016,32.13374328,34.73448518
"Apogonichthyoides pharaonis ",2016,32.13374328,34.66000518
"Apogonichthyoides pharaonis ",2016,32.13824328,34.73448518
"Apogonichthyoides pharaonis ",2016,32.16074328,34.66798518
"Apogonichthyoides pharaonis ",2016,32.18774328,34.74778518
"Apogonichthyoides pharaonis ",2016,32.39924328,34.75842518
"Apogonichthyoides pharaonis ",2016,32.43299328,34.77172518
"Apogonichthyoides pharaonis ",2016,32.50499328,34.85418518
"Apogonichthyoides pharaonis ",2016,32.54324328,34.86216518
"Apogonichthyoides pharaonis ",2017,31.91999328,34.58552518
"Apogonichthyoides pharaonis ",2017,31.97624328,34.62010518
"Apogonichthyoides pharaonis ",2017,31.99199328,34.66798518
"Apogonichthyoides pharaonis ",2017,32.00549328,34.67330518
"Apogonichthyoides pharaonis ",2017,32.01899328,34.67596518
"Apogonichthyoides pharaonis ",2017,32.01899328,34.67596518
"Apogonichthyoides pharaonis ",2017,32.01899328,34.67596518
"Apogonichthyoides pharaonis ",2017,32.01899328,34.67596518
"Apogonichthyoides pharaonis ",2017,32.01899328,34.67596518
"Apogonichthyoides pharaonis ",2017,32.02574328,34.67862518
"Apogonichthyoides pharaonis ",2017,32.04824328,34.68926518
"Apogonichthyoides pharaonis ",2017,32.04824328,34.68926518
"Apogonichthyoides pharaonis ",2017,32.04824328,34.68926518
"Apogonichthyoides pharaonis ",2017,32.04824328,34.68926518
"Apogonichthyoides pharaonis ",2017,32.04824328,34.68926518
"Apogonichthyoides pharaonis ",2017,32.05274328,34.69192518
"Apogonichthyoides pharaonis ",2017,32.05274328,34.69192518
"Apogonichthyoides pharaonis ",2017,32.05274328,34.69192518
"Apogonichthyoides pharaonis ",2017,32.05274328,34.69192518
"Apogonichthyoides pharaonis ",2017,32.08199328,34.70788518
"Apogonichthyoides pharaonis ",2017,32.11124328,34.71852518
"Apogonichthyoides pharaonis ",2017,32.13374328,34.73448518
"Apogonichthyoides pharaonis ",2017,32.13374328,34.73448518
"Apogonichthyoides pharaonis ",2017,32.13824328,34.73448518
"Apogonichthyoides pharaonis ",2017,32.13824328,34.66266518
"Apogonichthyoides pharaonis ",2017,32.13824328,34.73448518
"Apogonichthyoides pharaonis ",2017,32.13824328,34.66266518
"Apogonichthyoides pharaonis ",2017,32.13824328,34.73448518
"Apogonichthyoides pharaonis ",2017,32.16074328,34.73980518
"Apogonichthyoides pharaonis ",2017,32.16299328,34.73980518
"Apogonichthyoides pharaonis ",2017,32.18774328,34.74778518
"Apogonichthyoides pharaonis ",2017,32.21924328,34.76108518
"Apogonichthyoides pharaonis ",2017,32.21924328,34.76108518
"Apogonichthyoides pharaonis ",2017,32.21924328,34.76108518
"Apogonichthyoides pharaonis ",2017,32.21924328,34.76108518
"Apogonichthyoides pharaonis ",2017,32.21924328,34.76108518
"Apogonichthyoides pharaonis ",2017,32.21924328,34.76108518
"Apogonichthyoides pharaonis ",2017,32.21924328,34.76108518
"Apogonichthyoides pharaonis ",2017,32.26199328,34.78502518
"Apogonichthyoides pharaonis ",2017,32.28899328,34.78502518
"Apogonichthyoides pharaonis ",2017,32.28899328,34.78502518
"Apogonichthyoides pharaonis ",2017,32.28899328,34.71852518
"Apogonichthyoides pharaonis ",2017,32.28899328,34.71852518
"Apogonichthyoides pharaonis ",2017,32.31824328,34.79300518
"Apogonichthyoides pharaonis ",2017,32.34074328,34.79832518
"Apogonichthyoides pharaonis ",2017,32.34074328,34.73980518
"Apogonichthyoides pharaonis ",2017,32.34074328,34.73980518
"Apogonichthyoides pharaonis ",2017,32.39924328,34.81960518
"Apogonichthyoides pharaonis ",2017,32.43749328,34.77172518
"Apogonichthyoides pharaonis ",2018,31.76474328,34.41528518
"Apogonichthyoides pharaonis ",2018,31.76474328,34.50838518
"Apogonichthyoides pharaonis ",2018,31.76474328,34.50838518
"Apogonichthyoides pharaonis ",2018,31.76474328,34.50838518
"Apogonichthyoides pharaonis ",2018,31.76474328,34.50838518
"Apogonichthyoides pharaonis ",2018,31.76474328,34.50838518
"Apogonichthyoides pharaonis ",2018,31.76474328,34.50838518
"Apogonichthyoides pharaonis ",2018,31.88849328,34.60414518
"Apogonichthyoides pharaonis ",2018,31.94924328,34.64670518
"Apogonichthyoides pharaonis ",2018,31.94924328,34.64670518
"Apogonichthyoides pharaonis ",2018,31.97624328,34.56424518
"Apogonichthyoides pharaonis ",2018,31.97624328,34.56424518
"Apogonichthyoides pharaonis ",2018,31.97624328,34.66000518
"Apogonichthyoides pharaonis ",2018,31.97624328,34.66000518
"Apogonichthyoides pharaonis ",2018,31.97624328,34.66000518
"Apogonichthyoides pharaonis ",2018,31.97624328,34.66000518
"Apogonichthyoides pharaonis ",2018,31.97624328,34.66000518
"Apogonichthyoides pharaonis ",2018,32.01899328,34.67596518
"Apogonichthyoides pharaonis ",2018,32.01899328,34.67596518
"Apogonichthyoides pharaonis ",2018,32.01899328,34.67596518
"Apogonichthyoides pharaonis ",2018,32.10449328,34.71852518
"Apogonichthyoides pharaonis ",2018,32.13824328,34.73448518
"Apogonichthyoides pharaonis ",2018,32.13824328,34.73448518
"Apogonichthyoides pharaonis ",2018,32.13824328,34.66266518
"Apogonichthyoides pharaonis ",2018,32.19224328,34.68128518
"Apogonichthyoides pharaonis ",2018,32.21924328,34.76108518
"Apogonichthyoides pharaonis ",2018,32.21924328,34.76108518
"Apogonichthyoides pharaonis ",2018,32.21924328,34.76108518
"Apogonichthyoides pharaonis ",2019,31.76474328,34.50838518
"Apogonichthyoides pharaonis ",2019,31.94924328,34.64670518
"Apogonichthyoides pharaonis ",2019,32.02574328,34.67862518
"Apogonichthyoides pharaonis ",2019,32.13824328,34.73448518
"Apogonichthyoides pharaonis ",2019,32.19224328,34.75044518
"Apogonichthyoides pharaonis ",2019,32.24624328,34.67596518
"Apogonichthyoides pharaonis ",2019,32.24624328,34.77704518
"Apogonichthyoides pharaonis ",2020,33.252361,35.183361
"Apogonichthyoides pharaonis ",2011,36.548036,35.29134
"Apogonichthyoides pharaonis ",2011,37.32263,27.29625
"Apogonichthyoides pharaonis",2021,31.811333,34.616733
"Apogonichthyoides pharaonis ",2014,34.213917,35.434936
"Apogonichthyoides pharaonis ",2014,34.213917,35.434936
"Apogonichthyoides pharaonis ",2023,35.6927,34.5604
"Apogonichthyoides pharaonis ",2023,35.6816,34.5797
"Apogonichthyoides pharaonis  ",1999,34.49639,35.76056
"Apogonichthyoides pharaonis",1991,35.242982,35.886528
"Apogonichthyoides pharaonis",1994,36.768,34.687
"Apogonichthyoides pharaonis",1994,36.507,34.281
"Apogonichthyoides pharaonis",1994,31.247,29.882
"Apogonichthyoides pharaonis",1989,36.569,35.992
"Apogonichthyoides pharaonis",1989,36.773,34.721
"Apogonichthyoides pharaonis",2001,34.474,35.781
"Apogonichthyoides pharaonis",2020,31.7792,25.0778
"Apogonichthyoides pharaonis",2020,32.072426,23.969357
"Apogonichthyoides pharaonis",2002,36.705,27.831
"Apogonichthyoides pharaonis",2007,36.636,27.959
"Apogonichthyoides pharaonis",2007,36.808,27.703
"Atherinomorus forskalii",2004,36.65024,2.677841
"Atherinomorus forskalii",2014,36.903333,7.867222
"Atherinomorus forskalii",2007,35.053327,34.023628
"Atherinomorus forskalii",2014,35.05138889,34.02361111
"Atherinomorus forskalii",2015,35.353961,33.175908
"Atherinomorus forskalii",2015,35.340244,33.361694
"Atherinomorus forskalii",2015,35.345375,33.476664
"Atherinomorus forskalii",2016,35.363989,33.139
"Atherinomorus forskalii",2016,35.362667,33.169483
"Atherinomorus forskalii",2016,35.356303,33.185017
"Atherinomorus forskalii",2016,35.356183,33.191836
"Atherinomorus forskalii",2016,35.361739,33.202586
"Atherinomorus forskalii",2016,35.366769,33.202664
"Atherinomorus forskalii",2016,35.361806,33.216211
"Atherinomorus forskalii",2016,35.351475,33.232547
"Atherinomorus forskalii",2016,35.365186,33.292256
"Atherinomorus forskalii",2004,36.420336,28.175631
"Atherinomorus forskalii",2012,36.142303,22.999517
"Atherinomorus forskalii",2015,36.34116504,28.21001483
"Atherinomorus forskalii",2021,36.302507,28.204558
"Atherinomorus forskalii",2000,32.076,34.732
"Atherinomorus forskalii",2011,32.8682,35.00227
"Atherinomorus forskalii",2004,33.541001,35.284193
"Atherinomorus forskalii",2004,33.541294,35.285385
"Atherinomorus forskalii",2012,34.31165,35.695667
"Atherinomorus forskalii",2012,34.361683,35.72585
"Atherinomorus forskalii",2012,34.214082,35.432773
"Atherinomorus forskalii",2013,33.265683,35.191267
"Atherinomorus forskalii",2013,33.262467,35.193217
"Atherinomorus forskalii",2013,33.267867,35.182433
"Atherinomorus forskalii",2014,34.361111,35.728611
"Atherinomorus forskalii",2014,34.213992,35.434434
"Atherinomorus forskalii",2015,34.213917,35.434936
"Atherinomorus forskalii",2015,34.214082,35.432773
"Atherinomorus forskalii",2016,34.113404,35.375736
"Atherinomorus forskalii",2005,32.0811,24.0073
"Atherinomorus forskalii",2005,32.412,15.095
"Atherinomorus forskalii",2015,32.1563,24.0225
"Atherinomorus forskalii",2015,32.759,22.661
"Atherinomorus forskalii",2015,32.184,20.107
"Atherinomorus forskalii",2009,32.130018,20.006781
"Atherinomorus forskalii",2009,32.759604,22.662468
"Atherinomorus forskalii",2009,32.40429,15.149379
"Atherinomorus forskalii",2009,30.51309,18.593067
"Atherinomorus forskalii",2009,31.218204,16.569792
"Atherinomorus forskalii",2009,32.078889,32.981389
"Atherinomorus forskalii",2009,32.91934,13.23406
"Atherinomorus forskalii",2016,32.759604,22.662468
"Atherinomorus forskalii",2018,32.854075,13.054581
"Atherinomorus forskalii",2005,33.237143,11.236189
"Atherinomorus forskalii",2006,36.738524,28.927546
"Atherinomorus forskalii",2007,36.636,27.959
"Atherinomorus forskalii",2007,36.668,28.314
"Atherinomorus forskalii",2007,36.701,27.726
"Atherinomorus forskalii",2007,36.725,27.994
"Atherinomorus forskalii",2007,36.808,27.703
"Atherinomorus forskalii",2011,36.661727,28.851259
"Atherinomorus forskalii",2014,36.162243,29.629421
"Bregmaceros nectabanus ",2021,41.175,19.274
"Bregmaceros nectabanus ",2020,42.624717,17.78095
"Bregmaceros nectabanus ",2020,43.029849,17.324578
"Bregmaceros nectabanus ",2014,31.382009,30.314204
"Bregmaceros nectabanus ",2016,31,29.3
"Bregmaceros nectabanus ",2014,37.5011,23.202
"Bregmaceros nectabanus ",2014,37.5081,23.2956
"Bregmaceros nectabanus ",2016,38.2272,21.6108
"Bregmaceros nectabanus ",2016,39.4872,19.9897
"Bregmaceros nectabanus ",2016,39.4878,20.0392
"Bregmaceros nectabanus ",2016,39.49,20.0533
"Bregmaceros nectabanus ",2016,39.5025,19.9647
"Bregmaceros nectabanus ",2016,39.5664,20.0778
"Bregmaceros nectabanus ",2019,37.8535,23.399333
"Bregmaceros nectabanus ",2020,38.387195,23.885142
"Bregmaceros nectabanus ",2004,31.08333333,34.05
"Bregmaceros nectabanus ",2006,31.08333333,34.05
"Bregmaceros nectabanus ",2012,31.737,34.539
"Bregmaceros nectabanus ",2016,31.7487,34.496
"Bregmaceros nectabanus ",2019,41.15,17.033
"Bregmaceros nectabanus ",2020,42.038,15.947
"Bregmaceros nectabanus ",2021,41.1101,17.2944
"Bregmaceros nectabanus ",2018,35.684436,35.783768
"Bregmaceros nectabanus ",2018,35.850647,35.839896
"Bregmaceros nectabanus ",2002,36.833333,30.916667
"Bregmaceros nectabanus ",2005,36.512348,35.613687
"Bregmaceros nectabanus ",2005,37.854,27.085
"Bregmaceros nectabanus ",2008,36.693889,29.013889
"Bregmaceros nectabanus ",2010,35.9775,36.00777778
"Bregmaceros nectabanus ",2011,38.46666667,26.78333333
"Bregmaceros nectabanus ",2014,38.38333333,26.76666667
"Bregmaceros nectabanus ",2017,37.2657,27.5104
"Bregmaceros nectabanus ",2019,37.2452,27.2586
"Bregmaceros nectabanus ",2021,36.47362,31.04579
"Bregmaceros nectabanus ",2022,38.5888,26.7725
"Caesio varilineata",2018,30.96966,29.485029
"Caesio varilineata",2018,31.030652,29.592081
"Caesio varilineata",2018,31.1511,29.5031
"Callionymus filamentosus",2018,34.970212,33.900878
"Callionymus filamentosus",2016,34.65,33.05
"Callionymus filamentosus",1994,31.099982,32.288818
"Callionymus filamentosus",2016,31,29.3
"Callionymus filamentosus",2003,36.461054,28.157959
"Callionymus filamentosus",2007,36.804444,21.803144
"Callionymus filamentosus",2008,36.045381,27.760616
"Callionymus filamentosus",2008,36.449687,28.236277
"Callionymus filamentosus",2012,36.350013,27.906101
"Callionymus filamentosus",2012,36.142303,22.999517
"Callionymus filamentosus",2016,36.150758,29.592559
"Callionymus filamentosus",2012,32.877,34.961
"Callionymus filamentosus",2012,31.7993,34.6078
"Callionymus filamentosus",2014,31.91999328,34.62542518
"Callionymus filamentosus",2014,32.54324328,34.88078518
"Callionymus filamentosus",2014,32.13374328,34.73448518
"Callionymus filamentosus",2014,32.13374328,34.73448518
"Callionymus filamentosus",2014,32.10449328,34.71852518
"Callionymus filamentosus",2014,31.91999328,34.67330518
"Callionymus filamentosus",2014,31.91999328,34.67330518
"Callionymus filamentosus",2014,32.13374328,34.73448518
"Callionymus filamentosus",2014,32.11124328,34.75576518
"Callionymus filamentosus",2014,32.13374328,34.73448518
"Callionymus filamentosus",2014,31.96499328,34.65734518
"Callionymus filamentosus",2014,31.96499328,34.69458518
"Callionymus filamentosus",2014,32.18774328,34.74778518
"Callionymus filamentosus",2014,32.18774328,34.74778518
"Callionymus filamentosus",2014,32.13374328,34.76640518
"Callionymus filamentosus",2014,32.08199328,34.74512518
"Callionymus filamentosus",2014,32.13374328,34.76640518
"Callionymus filamentosus",2014,32.13374328,34.73448518
"Callionymus filamentosus",2014,31.91999328,34.67330518
"Callionymus filamentosus",2014,31.91999328,34.67330518
"Callionymus filamentosus",2014,32.13374328,34.73448518
"Callionymus filamentosus",2014,32.13374328,34.73448518
"Callionymus filamentosus",2014,32.13374328,34.76640518
"Callionymus filamentosus",2014,32.10449328,34.71852518
"Callionymus filamentosus",2014,32.13374328,34.76640518
"Callionymus filamentosus",2014,32.87174328,34.92866518
"Callionymus filamentosus",2014,32.89199328,34.93664518
"Callionymus filamentosus",2014,32.87174328,35.01644518
"Callionymus filamentosus",2014,32.18774328,34.74778518
"Callionymus filamentosus",2014,32.13374328,34.73448518
"Callionymus filamentosus",2014,32.02574328,34.67862518
"Callionymus filamentosus",2014,32.89199328,34.93664518
"Callionymus filamentosus",2014,31.91999328,34.67330518
"Callionymus filamentosus",2014,31.94924328,34.68660518
"Callionymus filamentosus",2014,32.19224328,34.78502518
"Callionymus filamentosus",2014,32.25524328,34.80630518
"Callionymus filamentosus",2014,32.21924328,34.76108518
"Callionymus filamentosus",2014,31.76474328,34.58818518
"Callionymus filamentosus",2014,31.76474328,34.58818518
"Callionymus filamentosus",2015,32.18774328,34.74778518
"Callionymus filamentosus",2015,32.11124328,34.71852518
"Callionymus filamentosus",2015,31.91999328,34.67330518
"Callionymus filamentosus",2015,32.13374328,34.73448518
"Callionymus filamentosus",2015,32.10449328,34.71852518
"Callionymus filamentosus",2015,32.18774328,34.74778518
"Callionymus filamentosus",2015,32.10449328,34.65202518
"Callionymus filamentosus",2015,32.02574328,34.67862518
"Callionymus filamentosus",2015,31.99199328,34.66798518
"Callionymus filamentosus",2015,31.96499328,34.65734518
"Callionymus filamentosus",2015,31.94924328,34.64670518
"Callionymus filamentosus",2015,32.05274328,34.69192518
"Callionymus filamentosus",2015,32.89199328,34.93664518
"Callionymus filamentosus",2015,32.84699328,34.88610518
"Callionymus filamentosus",2015,32.84699328,34.93930518
"Callionymus filamentosus",2015,32.84699328,34.90738518
"Callionymus filamentosus",2015,32.93924328,34.92600518
"Callionymus filamentosus",2015,32.84699328,34.90738518
"Callionymus filamentosus",2015,32.16074328,34.73980518
"Callionymus filamentosus",2015,32.16074328,34.73980518
"Callionymus filamentosus",2015,31.94924328,34.64670518
"Callionymus filamentosus",2015,31.99199328,34.66798518
"Callionymus filamentosus",2015,31.96499328,34.65734518
"Callionymus filamentosus",2015,32.02574328,34.67862518
"Callionymus filamentosus",2015,32.10449328,34.71852518
"Callionymus filamentosus",2015,31.91999328,34.62542518
"Callionymus filamentosus",2015,31.96499328,34.65734518
"Callionymus filamentosus",2015,31.91999328,34.62542518
"Callionymus filamentosus",2015,32.02574328,34.67862518
"Callionymus filamentosus",2015,31.99199328,34.66798518
"Callionymus filamentosus",2015,31.96499328,34.65734518
"Callionymus filamentosus",2015,32.02574328,34.67862518
"Callionymus filamentosus",2015,31.94924328,34.64670518
"Callionymus filamentosus",2015,31.91999328,34.62542518
"Callionymus filamentosus",2015,31.96499328,34.65734518
"Callionymus filamentosus",2015,32.13374328,34.73448518
"Callionymus filamentosus",2015,31.94924328,34.64670518
"Callionymus filamentosus",2015,31.94924328,34.64670518
"Callionymus filamentosus",2015,31.88849328,34.60414518
"Callionymus filamentosus",2015,32.84699328,34.93930518
"Callionymus filamentosus",2015,32.84699328,34.93930518
"Callionymus filamentosus",2015,32.84699328,34.93930518
"Callionymus filamentosus",2015,32.08199328,34.70788518
"Callionymus filamentosus",2015,32.08199328,34.70788518
"Callionymus filamentosus",2015,32.08199328,34.70788518
"Callionymus filamentosus",2015,32.08199328,34.70788518
"Callionymus filamentosus",2015,32.10449328,34.65202518
"Callionymus filamentosus",2015,32.10449328,34.65202518
"Callionymus filamentosus",2015,32.13374328,34.63606518
"Callionymus filamentosus",2015,32.13374328,34.76640518
"Callionymus filamentosus",2015,32.19224328,34.75044518
"Callionymus filamentosus",2015,32.13374328,34.76640518
"Callionymus filamentosus",2015,32.13374328,34.73448518
"Callionymus filamentosus",2015,32.13374328,34.73448518
"Callionymus filamentosus",2015,32.13374328,34.73448518
"Callionymus filamentosus",2015,32.19224328,34.75044518
"Callionymus filamentosus",2016,32.50499328,34.85418518
